2017,5,82
2017,6,69
2017,7,59
2017,8,29
2017,9,32
2017,10,60
2017,11,54
2017,12,40
2018,1,56
2018,2,44
2018,3,58
2018,4,54
2018,5,54
2018,6,28
